Tropical Cyclone Best Track Data (post analysis)
熱帶氣旋最佳路徑數據(事後分析)
热带气旋最佳路径数据(事后分析)
Tropical Cyclone Name/熱帶氣旋名稱/热带气旋名称,Year/年/年,Month/月/月,Day/日/日,Time (UTC)/時間(協調世界時)/时间(协调世界时),Intensity/強度/强度,Latitude (0.01 degree N)/北緯(0.01度)/北纬(0.01度),Longitude (0.01 degree E)/東經(0.01度)/东经(0.01度),Estimated minimum central pressure (hPa)/估計最低中心氣壓(百帕斯卡)/估计最低中心气压(百帕斯卡),Estimated maximum surface winds (knot)/估計最高風速(海里)/估计最高风速(海里),JMA Code/JMA編號/JMA编号,HKO Code/HKO編號/HKO编号
nameless,2012,2,18,0,TD,980,11280,1006,25,,0001
nameless,2012,2,18,6,TD,980,11270,1004,30,,0001
nameless,2012,2,18,12,TD,980,11260,1004,30,,0001
nameless,2012,2,18,18,TD,980,11250,1004,30,,0001
nameless,2012,2,19,0,TD,970,11250,1004,30,,0001
nameless,2012,2,19,6,TD,980,11230,1004,30,,0001
nameless,2012,2,19,12,TD,980,11220,1002,30,,0001
nameless,2012,2,19,18,TD,970,11210,1002,30,,0001
nameless,2012,2,20,0,TD,950,11190,1004,30,,0001
nameless,2012,2,20,6,TD,890,11160,1004,30,,0001
nameless,2012,2,20,12,TD,880,11140,1004,30,,0001
nameless,2012,2,20,18,TD,860,11100,1005,30,,0001
PAKHAR,2012,3,28,12,TD,950,11290,1004,25,1201,0002
PAKHAR,2012,3,28,18,TD,940,11270,1004,25,1201,0002
PAKHAR,2012,3,29,0,TD,940,11250,1002,30,1201,0002
PAKHAR,2012,3,29,6,TS,940,11230,998,35,1201,0002
PAKHAR,2012,3,29,12,TS,950,11200,996,40,1201,0002
PAKHAR,2012,3,29,18,TS,960,11180,990,45,1201,0002
PAKHAR,2012,3,30,0,STS,970,11150,985,50,1201,0002
PAKHAR,2012,3,30,6,STS,980,11120,980,55,1201,0002
PAKHAR,2012,3,30,12,STS,980,11090,980,55,1201,0002
PAKHAR,2012,3,30,18,STS,980,11070,980,55,1201,0002
PAKHAR,2012,3,31,0,STS,980,11030,980,55,1201,0002
PAKHAR,2012,3,31,6,STS,980,10980,980,55,1201,0002
PAKHAR,2012,3,31,12,STS,980,10940,980,55,1201,0002
PAKHAR,2012,3,31,18,STS,980,10910,980,55,1201,0002
PAKHAR,2012,4,1,0,STS,980,10860,985,50,1201,0002
PAKHAR,2012,4,1,6,STS,1000,10800,988,50,1201,0002
PAKHAR,2012,4,1,12,TS,1060,10720,992,45,1201,0002
PAKHAR,2012,4,1,18,TS,1110,10680,998,35,1201,0002
PAKHAR,2012,4,2,0,TD,1200,10650,1000,30,1201,0002
PAKHAR,2012,4,2,6,TD,1250,10600,1002,25,1201,0002
SANVU,2012,5,21,18,TD,1230,14460,1002,30,1202,0003
SANVU,2012,5,22,0,TD,1320,14400,1002,30,1202,0003
SANVU,2012,5,22,6,TS,1390,14330,998,35,1202,0003
SANVU,2012,5,22,12,TS,1470,14240,998,35,1202,0003
SANVU,2012,5,22,18,TS,1520,14180,995,40,1202,0003
SANVU,2012,5,23,0,TS,1610,14100,995,40,1202,0003
